gradient1,gradient2,gradient3,gradient4,gradient5
-1.0676057,1.3462911,-0.22727014,0.15516993,-0.19132021
-1.6241798,1.6845342,-0.56631726,0.44914994,-0.243931
-1.8047094,1.6775631,-0.414546,0.44209245,-0.24274176
-1.3268151,1.4217361,-0.33137342,0.30302846,-0.20624739
-1.434539,1.828167,-0.3168711,-0.04223273,-0.14456058
-1.3488119,1.5162765,-0.36372995,0.23540218,-0.23072089
-0.35098132,1.6113073,-0.8328705,0.37347925,-0.10450043
-1.9548374,2.0022285,-0.64523727,0.506978,-0.28443986
-2.2720404,2.012853,-0.5634405,0.53510803,-0.3131581
-1.3639543,1.5480441,-0.39080977,0.16603859,-0.21641222
-0.31691158,0.49111825,-0.068276525,-0.039379105,0.06679767
-1.7586104,1.6636286,-0.42157546,0.39770958,-0.25017792
-1.1572807,1.4059027,-0.1476688,-0.10110878,-0.0013753361
-1.60438,1.7060142,-0.43267795,0.27262256,-0.2521397
0.39236167,0.91262823,-0.4982918,0.11225358,0.0072066644
-1.2342734,1.4920839,-0.30639976,0.06722748,-0.16009074
-0.82082796,1.0767076,-0.07797724,-0.16068205,-0.01826992
-1.4911925,1.7153766,-0.61279994,0.38532045,-0.26680666
-1.7126878,1.6923709,-0.45360163,0.30240458,-0.26198548
-1.0734149,1.1723943,-0.2912395,0.14400846,-0.15966496
-1.3090811,1.800432,-0.61063594,0.349268,-0.23164812
-1.6529088,1.8367738,-0.43194616,0.19900014,-0.23866014
-1.4703023,1.4179052,-0.404451,0.27102372,-0.22395402
-1.7667428,2.24432,-0.3431415,-0.050749708,-0.16442846
-1.2208287,1.2256151,-0.31673336,0.18025234,-0.17418778
-0.92137325,1.4126283,0.09227115,-0.35786414,0.06447728
-1.9085153,1.9195241,-0.5239203,0.36623073,-0.28846166
-1.205117,1.2548587,-0.29956448,0.13386178,-0.16359827
-1.9287164,2.3487391,-0.35414892,-0.09924148,-0.18208966
-2.0164235,1.9642514,-0.47122145,0.2803362,-0.2636727
-0.887767,0.89899915,-0.21136627,0.08928431,-0.11470925
-1.3053349,1.4855688,-0.28474754,-0.036158286,-0.14369363
-0.6133995,0.8107732,0.085246235,-0.023620903,-0.045219306
-1.3341017,-0.6820833,-0.77103853,0.17972933,0.53272164
-1.8415956,-0.85332304,-0.70439935,0.20757924,0.37660292
-1.1813502,-0.5747211,-0.66121495,0.08223208,0.22529425
-0.69112563,-0.34194562,-0.37311015,0.045927078,0.11864471
-2.2420826,-0.998891,-0.62949634,0.29650617,0.20371535
-2.3748553,-0.9980139,-0.26729777,0.35751855,0.19313048
-0.6445446,-0.38854867,-0.61988914,0.040949523,0.2807251
-1.6699303,-0.70962113,-0.59161395,0.25247267,0.18699273
-1.3621287,-0.6354929,-0.5978283,0.16996832,0.20648342
-2.5543354,-0.9954042,-0.503753,0.3479707,-0.030722776
-2.4943469,-1.1136092,-0.4890966,0.24812287,-0.10367929
-3.116903,-1.4842924,-0.6940902,0.10294549,-0.16546313
-0.676889,-0.34250066,-0.7496015,0.07081507,0.3948298
-1.8961829,-0.71187097,-0.46581239,0.3333776,0.049352124
-2.13985,-0.9130193,-0.5277109,0.25927228,-0.10010439
-2.4260077,-1.1492765,-0.5632836,0.14897826,-0.2324718
-2.769933,-1.3081543,-0.6248049,0.06936246,-0.13313898
-2.0596695,-0.9163152,-0.6659953,0.28507513,0.13778841
-0.585912,0.09674879,-0.69600576,0.06645031,0.5191104
-1.3770733,-0.5850486,-0.5166921,0.16832058,0.24084154
-2.6294186,-1.253048,-0.5718058,0.07533183,-0.06940897
-2.713192,-1.2475934,-0.273931,0.243415,0.24743266
-0.278205,-0.013596678,-0.173525,0.038519643,0.1136851
-2.6630497,-1.2624974,-0.692069,0.021602929,-0.3018145
-1.9921532,-0.8760885,-0.539702,0.2246533,0.00023894335
-2.3482482,-1.1439928,-0.44970372,-0.04951579,0.008243186
-1.7150807,-0.79881537,-0.19400714,0.124830015,0.087728515
-2.4271555,-1.1840246,-0.49509126,-0.31225482,-0.22750708
-2.2925267,-1.1837468,-0.68349594,-0.062624685,-0.15934429
-2.0776014,-0.9251072,-0.27659786,0.054333225,0.030919604
-1.855665,-0.8622985,-0.09145123,-0.16782218,0.13887793
-1.8588053,-0.89595956,-0.27224568,-0.0713404,0.026529245
-2.6504197,-1.3735846,-0.7867643,-0.0013583786,-0.2416642
-2.1278245,-1.1315445,-0.68460494,-0.17194162,-0.25478077
-2.598194,-1.305523,-0.65479636,-0.21603905,-0.21166019
-3.2105362,-1.6970778,-1.0162632,-0.123453505,-0.40659398
-1.1088415,-0.58688635,-0.36406222,-0.0911798,-0.15064128
-2.7504754,-1.353012,-0.68059564,-0.21789269,-0.21593799
-2.131672,-1.0322027,-0.56767213,-0.41102973,-0.29593182
-2.9016755,-1.4930792,-0.90437144,-0.14554067,-0.40025434
-3.098003,-1.5829326,-0.9162475,0.013367719,-0.3195654
-1.6595987,-0.7895627,-0.18623373,0.1305268,-0.0052505173
-1.0590667,-0.5244031,-0.3137871,0.014509293,0.09086528
-0.9068757,-0.47939757,-0.30060953,-0.16625643,-0.18218778
-1.9549865,-0.87980443,-0.45536235,-0.51201,-0.2945644
-2.9864748,-1.165561,-0.6815073,0.12517211,-0.27044988
-2.252691,-1.1318579,-0.5404896,-0.1491294,-0.32142413
-1.9091314,-0.9956609,-0.60994416,-0.38410595,-0.39656258
-2.399631,-0.64128906,-0.34373146,0.0345789,-0.0810917
-2.1280537,-1.0565383,-0.66283536,-0.2848604,-0.4052923
-2.6324685,-1.3055531,-0.7618201,-0.2913453,-0.48693797
-3.2851624,-1.5525032,-0.954486,-0.2784794,-0.56269705
